150,Introduction to CMPS,CMPS,1
207,Computers in Organizations,CMPS,3
250,Intro to Data Struct&Sfwr Dsgn,CMPS,3
260,Intro to Data Struct&Sfwr Dsgn,CMPS,3
261,Adv Data Struct&Software Engr,CMPS,3
300,Computer Literacy,CMPS,2
301,Cmp for the Natural Sciences I,CMPS,3
303,Cmp for the Social Sciences I,CMPS,3
310,Computers in Society,CMPS,3
327,Intro to Video Game Design&Dev,CMPS,3
341,Foundations of Computer Sci,CMPS,3
351,Cmp Organiz & Assemb Lang Prog,CMPS,3
450,Programming Languages,CMPS,3
497,Special Projects I,CMPS,3
498,Special Projects II,CMPS,5
