100,other
101,lecture
102,other
103,lecture
104,other
105,lecture
106,lecture
107,other
108,other
109,other
110,other
111,other
112,lecture
113,other
114,other
115,other
116,lecture
117,lecture
118,lab
119,other
120,lab
121,other
200,other
201,other
201F,seminar
202,lab
203,office
204,lab
205,office
206,office
207,office
208,lab
209,lab
210,office
211,lab
212,other
213,lab
214,office
215,office
216,lab
217,office
218,other
219,office
220,other
221,other
222,other
222E,seminar
222F,office
222G,office
223,other
224,other
225,office
226,office
227,office
228,lab
229,office
230,lab
231,other
232,lab
233,office
234,lab
235,lab
236,office
237,office
238,lab
239,office
240,lab
241,office
242,other
243,other
244,lab
245,other
246,other
301,office
302,office
303,office
304,office
305,office
306,office
307,office
308,office
309,office
310,lab
311,office
312,other
313,other
314,office
315,office
316,office
317,lab
318,other
319,other
320,other
321,office
322,office
323,office
324,office
325,office
326,office
327,office
328,lab
329,lab
330,other
331,office
332,office
333,other
334,other
335,office
336,other
337,office
338,other
339,other
340,office
341,lab
342,office
343,other
344,other
345,office
346,office
347,lab
348,office
349,office
350,office
351,office
352,lab
353,office
354,office
355,office
356,lab
357,office
358,lab
359A,seminar
359,other
